region_id,region,min_speed,max_speed,avg_speed,median_speed
1,Rogers Park - West Ridge,0,37.88,19.962090262572158,22.5
2,Far North West,0,109.43,26.10621324261233,27.27
3,North Park-Albany-Linconl Sq,0,97.13,23.52162085376667,23.18
4,Edge Water-Uptown,0,73.5,20.19182950000905,20.45
5,Dunning-Portage-Belmont Cragn,0,142.5,22.77944590217332,24.55
6,Irving Park-Avondale-North Ctr,0,99.0,22.48930547764246,23.18
7,Hermosa-Logan Square,0,142.09,21.607341162845405,22.5
8,Lincoln Park-Lake View,0,147.99,21.749502904399126,21.14
9,Austin,0,139.23,22.87961111814842,25.23
10,Humboldt-Garfield Prk E/W,0,64.94,23.842182189971226,23.8
11,West Town-Near West,0,141.14,23.198253922296015,22.5
12,Near North,0,123.41,19.666214871247355,19.77
13,Chicago Loop,0,105.17,19.22978900128481,18.41
14,Lawndale N/S,0,90.0,24.593975607107957,25.23
15,Bridgeport-McKinley-Lower West,0,109.5,26.082016937497738,25.98
16,Near South-Douglas,0,68.69,25.31966506224667,26.59
17,Midway-Garfield Rdg-Clearing,0,131.42,24.723261616965836,29.32
18,South West Side,0,110.32,25.096563647878405,24.55
19,New City-Englewood-W Englewood,0,101.05,26.72880683977201,26.59
20,Fuller-Grand Blvd-Washington Park,0,80.45,25.714615217587987,26.25
21,Hyde Park-Kenwood-Woodlawn,0,82.91,23.765049126933864,25.23
22,Ashburn,0,125.11,27.552611598661,29.32
23,Auburn Gresham-Chatham,0,85.91,24.623272414729033,24.55
24,South Shore-S Chicago-Avlon,0,67.67,25.310414721528605,25.91
25,Beverly-Mt Greenwood-Morgan Park,0,71.93,25.096573842869034,29.32
26,Washington Hts-Roseland-Pullman,0,86.93,28.32333731408099,27.95
27,South Deering-East Side,0,53.86,27.01540322434726,28.64
28,Riverdale-Hegewisch,0,55.23,20.95838131253732,29.59
29,Downtown Lakefront,0,153.89,19.81425859916406,21.82
